,exyr,smoking,age
1,47.3682384667712,1,25.1952720293775
2,11.4876264253218,0,66.8398587922566
3,28.7466260023601,0,48.1902473597825
4,37.3173585499868,1,35.6051141186617
5,26.1606151766383,0,50.1387354959734
6,41.8499881678637,0,34.3795768055134
7,0.5,0,76.8644012198783
8,20.3102081967902,0,54.4203235978417
9,44.1244560849869,1,25.7968356218189
10,14.7449693694325,0,58.6526257395744
11,50.259048153168,0,26.5015064716605
12,30.738888827991,0,45.563188620843
13,0.526639594330872,0,76.2161302026361
14,34.2829398189861,1,40.142736159265
15,51.8762706916195,0,23.7719713733532
16,27.5412034368792,1,44.9547770806102
17,30.849097817788,0,44.9770778585225
18,44.5819524920885,0,30.1734575922601
19,5.61172087652593,0,71.7175671313889
20,38.8991942891641,0,36.7392498495326
21,11.9316603306765,0,63.0332761681639
22,43.2367474500943,0,32.7573626022695
23,50.8809144066099,0,26.4080324866809
24,49.2652213951353,0,26.078583334107
25,4.06122198257435,0,72.9887705757283
26,36.034631470872,1,37.7831093911082
27,27.8587134980417,0,46.8997054914944
28,20.4978945003262,0,55.4438056871295
29,38.6530884123456,0,36.7162849185988
30,47.7112814850026,0,26.3193002105691
31,43.9690375725629,1,27.6893847389147
32,42.3584821309463,0,34.0291500054143
33,34.6085072901204,0,40.8025277522393
34,48.4547641609839,0,26.681206477806
35,40.9713774571369,0,34.0590580410104
36,35.5874273656602,0,42.2377162266355
37,55.9963435083085,0,20.2111456547864
38,28.3027651154619,0,48.7604616158642
39,18.6436688895489,0,57.4261596361175
40,17.6940699766251,0,58.3370471461676
41,47.8315399853157,1,22.0204108776525
42,47.6851863393213,1,23.8364272168837
43,37.2954118526691,0,37.650831558276
44,34.7264030945089,1,38.5648407917947
45,6.52338728823605,0,70.8912957971916
46,45.1204677776515,1,27.3155752145685
47,39.8989379153927,0,36.8373007304039
48,13.0611047010896,0,63.5377684659325
49,41.1666462392203,1,30.9465890561516
50,29.6134791146954,0,47.2339913542382
51,49.522938816668,0,25.8949481685549
52,29.2229356553957,0,46.3351630745456
53,1.12004341338424,0,72.9303212147206
54,45.3284551178547,0,31.4606450940482
55,55.5286703480226,0,22.1029988341033
56,22.3293848750405,0,53.0432470957749
57,24.6656275406909,0,50.3779827128164
58,27.5715928514749,0,49.1476445580888
59,42.6302759641981,0,33.8630645610392
60,28.1078964547416,1,44.2425142560278
61,13.8239816341845,0,61.3707455401309
62,24.7493880040297,0,50.5302917894855
63,38.1346191082341,0,37.2447952465154
64,17.267482533869,0,59.7216112990864
65,29.151865434152,0,46.2905900659971
66,19.829658164202,0,57.1892534629442
67,40.0678731929462,0,37.2266682381742
68,46.6303323595639,1,24.1943981642835
69,28.3290324524899,0,47.3041806393303
70,21.5307921275797,0,53.7288234299049
71,14.1852876573903,0,59.7325014998205
72,38.2565138595905,0,38.0614603031427
73,19.5665296629646,0,57.6601418443024
74,8.77736505059809,0,66.2243356481194
75,33.3851711445448,1,37.9921553984635
76,54.0693074568117,0,22.9464939902537
77,39.4555439184155,1,33.2088359950904
78,42.5857169946413,0,33.5233554881997
79,40.3352227618541,0,36.3525687945075
80,18.55914171026,0,57.9421997745521
81,20.1556772994424,1,54.2096659429371
82,37.1541088847615,0,38.3808081344214
83,17.3963070346013,0,58.6480926708318
84,49.8117819197195,0,25.4239392904565
85,40.041271625556,1,32.6215420271147
86,50.587229340804,1,20.1294280830771
87,44.8934447570395,0,30.8003048317682
88,13.9851612016811,0,61.7727827248164
89,26.7022570837403,0,49.7368764583953
90,21.3958641717702,0,55.5890168352053
91,28.0430586541206,1,45.9320029905066
92,50.0311060885342,1,20.7532329610549
93,43.0778923173993,0,33.9481544769369
94,15.5783089917044,0,60.146703733597
95,49.6718098031565,0,26.6949756476097
96,0.5,0,76.2835439066403
97,20.8569639679706,0,55.3707216330804
98,0.631116048831584,0,76.0810104291886
99,10.2638287705279,0,63.6511881202459
100,16.1276697485283,0,57.8088823226281
101,18.5754304772318,0,58.2898010937497
102,49.4414136531873,0,26.2693791426718
103,43.6626980263008,0,30.8619463588111
104,34.3266336657161,0,40.9383762245998
105,35.8032541437235,0,39.7451576082967
106,30.0920939128465,1,43.7636099108823
107,19.3468477513444,0,56.3456972003914
108,4.61410825480766,0,70.0566073092632
109,40.6627312078949,0,36.3492028431754
110,38.0913111484476,1,33.8437927495688
111,13.469605132684,0,62.2069037281908
112,22.5476585736323,0,52.6954357866198
113,14.4901895687916,0,59.5686720749363
114,21.7398335508941,0,52.9054553587921
115,38.1213338724222,1,32.0828754254617
116,36.7359555045707,1,36.925040085597
117,4.3130635519088,0,73.2131569315679
118,42.9574543297371,0,34.8356726029888
119,0.5,0,75.9012505179271
120,25.7359260273835,0,49.481761590112
121,8.9825332133196,0,67.9956642067991
122,36.1314172349788,0,40.8508797427639
123,0.5,0,75.4226375310682
124,43.0609734007952,0,32.3676227801479
125,41.0158022952273,0,33.1394340711836
126,10.3278040848159,0,65.0137620032765
